name,category,gender,color,style,occasion,fit,season,recommended_skin_tones,recommended_body_types,temperature,material,tags,image_url
Forest Green Shorts 109,Bottom,Unisex,Forest Green,Casual,"Beach, Casual Outing, Travel",Relaxed Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Linen,"Forest Green, casual, striped",images/bottom/forest_green_shorts.jpg
Red Jeans 110,Bottom,Unisex,Red,Smart Casual,"University, Casual Outing, Date",Straight Fit,All Season,"Medium, Deep","Slim, Average, Broad, Plus Size",Any,Denim,"Red, smart casual, solid, versatile, minimal",images/bottom/red_jeans.jpg
Brown Loafers 111,Shoes,Unisex,Brown,Business Casual,"Wedding, Date",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Brown, business casual, solid, professional, minimal",images/shoes/brown_loafers.jpg
Pink Jeans 112,Bottom,Unisex,Pink,Casual,Date,Straight Fit,All Season,"Fair, Medium","Slim, Average, Broad, Plus Size",Any,Denim,"Pink, casual, solid, minimal",images/bottom/pink_jeans.jpg
Pink Dress Shirt 113,Top,Unisex,Pink,Formal,"Presentation, Interview, Business Meeting",Slim Fit,All Season,"Fair, Medium","Slim, Average, Athletic",Warm,Cotton,"Pink, formal, striped, professional",images/top/pink_dress_shirt.jpg
Burgundy Denim Jacket 114,Outerwear,Unisex,Burgundy,Streetwear,Travel,Regular Fit,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Denim,"Burgundy, streetwear, solid, urban, minimal",images/outerwear/burgundy_denim_jacket.jpg
Pink Sandals 115,Shoes,Unisex,Pink,Casual,Beach,Regular Fit,Spring/Summer,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Hot,Leather,"Pink, casual, solid, minimal",images/shoes/pink_sandals.jpg
Burgundy Jeans 116,Bottom,Unisex,Burgundy,Smart Casual,Casual Outing,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Denim,"Burgundy, smart casual, solid, versatile, minimal",images/bottom/burgundy_jeans.jpg
Black Bomber Jacket 117,Outerwear,Unisex,Black,Casual,Travel,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Cotton,"Black, casual, solid, minimal",images/outerwear/black_bomber_jacket.jpg
Red Chinos 118,Bottom,Unisex,Red,Preppy,"Office, Casual Outing, Presentation",Straight Fit,All Season,"Medium, Deep","Slim, Average, Broad, Plus Size",Any,Cotton,"Red, preppy, solid, minimal",images/bottom/red_chinos.jpg
Forest Green Loafers 119,Shoes,Unisex,Forest Green,Business Casual,"Wedding, Office",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Forest Green, business casual, solid, professional, minimal",images/shoes/forest_green_loafers.jpg
Khaki Chinos 120,Bottom,Unisex,Khaki,Preppy,"Office, Casual Outing, Business Meeting",Straight Fit,All Season,"Medium, Deep","Slim, Average, Broad, Plus Size",Any,Cotton,"Khaki, preppy, solid, minimal",images/bottom/khaki_chinos.jpg
Cream Chinos 121,Bottom,Unisex,Cream,Business Casual,"Casual Outing, Date",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Cream, business casual, solid, professional, minimal",images/bottom/cream_chinos.jpg
Grey Henley 122,Top,Unisex,Grey,Smart Casual,"Casual Outing, University",Slim Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic",Mild,Cotton,"Grey, smart casual, solid, versatile, minimal",images/top/grey_henley.jpg
Red Oxford Shirt 123,Top,Unisex,Red,Preppy,"Interview, Office",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Red, preppy, solid, minimal",images/top/red_oxford_shirt.jpg
Lavender Henley 124,Top,Unisex,Lavender,Smart Casual,"Date, Travel, Casual Outing",Slim Fit,All Season,"Fair, Medium","Slim, Average, Athletic",Warm,Cotton,"Lavender, smart casual, solid, versatile, minimal",images/top/lavender_henley.jpg
Burgundy Shorts 125,Bottom,Unisex,Burgundy,Casual,"Casual Outing, Beach, Travel",Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Linen,"Burgundy, casual, solid, minimal",images/bottom/burgundy_shorts.jpg
Grey Cargo Pants 126,Bottom,Unisex,Grey,Casual,"Casual Outing, Travel, University",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Grey, casual, solid, minimal",images/bottom/grey_cargo_pants.jpg
Khaki Henley 127,Top,Unisex,Khaki,Smart Casual,Date,Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Khaki, smart casual, solid, versatile, minimal",images/top/khaki_henley.jpg
Burgundy Loafers 128,Shoes,Unisex,Burgundy,Business Casual,"Office, Party",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Burgundy, business casual, solid, professional, minimal",images/shoes/burgundy_loafers.jpg
Burgundy Cargo Pants 129,Bottom,Unisex,Burgundy,Casual,"Casual Outing, Party, Travel",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Burgundy, casual, solid, minimal",images/bottom/burgundy_cargo_pants.jpg
Grey Boots 130,Shoes,Unisex,Grey,Casual,"Casual Outing, Travel, Date",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Leather,"Grey, casual, solid, minimal",images/shoes/grey_boots.jpg
Lavender Loafers 131,Shoes,Unisex,Lavender,Preppy,"Date, Presentation",Regular Fit,All Season,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Lavender, preppy, solid, minimal",images/shoes/lavender_loafers.jpg
Red Polo Shirt 132,Top,Unisex,Red,Smart Casual,"Party, Travel, University",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Red, smart casual, striped, versatile",images/top/red_polo_shirt.jpg
Navy Dress Trousers 133,Bottom,Unisex,Navy,Formal,"Wedding, Presentation",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Polyester,"Navy, formal, solid, professional, minimal",images/bottom/navy_dress_trousers.jpg
Red Bomber Jacket 134,Outerwear,Unisex,Red,Casual,"Casual Outing, Date",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Cotton,"Red, casual, solid, minimal",images/outerwear/red_bomber_jacket.jpg
Khaki Dress Trousers 135,Bottom,Unisex,Khaki,Formal,Wedding,Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Any,Wool,"Khaki, formal, pinstripe, professional",images/bottom/khaki_dress_trousers.jpg
White Sandals 136,Shoes,Unisex,White,Casual,"Casual Outing, Beach, Travel",Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Rubber,"White, casual, solid, minimal",images/shoes/white_sandals.jpg
Forest Green Polo Shirt 137,Top,Unisex,Forest Green,Casual,Travel,Slim Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic",Any,Pique,"Forest Green, casual, striped",images/top/forest_green_polo_shirt.jpg
Burgundy Knit Sweater 138,Top,Unisex,Burgundy,Preppy,"Travel, Date",Regular Fit,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Cotton,"Burgundy, preppy, solid, minimal",images/top/burgundy_knit_sweater.jpg
Cream Henley 139,Top,Unisex,Cream,Casual,"Casual Outing, University, Date",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Cotton,"Cream, casual, solid, minimal",images/top/cream_henley.jpg
Olive Henley 140,Top,Unisex,Olive,Smart Casual,"Casual Outing, University",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Warm,Cotton,"Olive, smart casual, solid, versatile, minimal",images/top/olive_henley.jpg
Mustard Polo Shirt 141,Top,Unisex,Mustard,Preppy,Office,Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Cotton,"Mustard, preppy, striped",images/top/mustard_polo_shirt.jpg
Light Blue Dress Trousers 142,Bottom,Unisex,Light Blue,Business Casual,"Business Meeting, Presentation, Wedding",Slim Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic",Mild,Wool,"Light Blue, business casual, pinstripe, professional",images/bottom/light_blue_dress_trousers.jpg
Black Denim Jacket 143,Outerwear,Unisex,Black,Casual,Travel,Regular Fit,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Denim,"Black, casual, solid, minimal",images/outerwear/black_denim_jacket.jpg
Burgundy Knit Sweater 144,Top,Unisex,Burgundy,Smart Casual,Date,Regular Fit,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Wool,"Burgundy, smart casual, solid, versatile, minimal",images/top/burgundy_knit_sweater.jpg
Black Denim Jacket 145,Outerwear,Unisex,Black,Casual,Date,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Denim,"Black, casual, solid, minimal",images/outerwear/black_denim_jacket.jpg
Beige Sneakers 146,Shoes,Unisex,Beige,Minimalist,"University, Date",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Canvas,"Beige, minimalist, solid, minimal",images/shoes/beige_sneakers.jpg
Olive Cargo Pants 147,Bottom,Unisex,Olive,Casual,"Travel, University, Party",Relaxed Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Olive, casual, solid, minimal",images/bottom/olive_cargo_pants.jpg
Red Cargo Pants 148,Bottom,Unisex,Red,Casual,"Party, University, Casual Outing",Relaxed Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Red, casual, solid, minimal",images/bottom/red_cargo_pants.jpg
White Hoodie 149,Top,Unisex,White,Casual,"University, Travel",Relaxed Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Fleece,"White, casual, graphic",images/top/white_hoodie.jpg
Burgundy Hoodie 150,Top,Unisex,Burgundy,Streetwear,"Party, Travel",Relaxed Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Fleece,"Burgundy, streetwear, graphic, urban",images/top/burgundy_hoodie.jpg
Mustard Loafers 151,Shoes,Unisex,Mustard,Business Casual,Party,Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Mustard, business casual, solid, professional, minimal",images/shoes/mustard_loafers.jpg
Navy Sneakers 152,Shoes,Unisex,Navy,Streetwear,"Travel, Party",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Canvas,"Navy, streetwear, solid, urban, minimal",images/shoes/navy_sneakers.jpg
Forest Green Loafers 153,Shoes,Unisex,Forest Green,Smart Casual,"Wedding, Date, Office",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Forest Green, smart casual, solid, versatile, minimal",images/shoes/forest_green_loafers.jpg
Mustard Oxford Shirt 154,Top,Unisex,Mustard,Smart Casual,Interview,Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Warm,Cotton,"Mustard, smart casual, solid, versatile, minimal",images/top/mustard_oxford_shirt.jpg
Pink Knit Sweater 155,Top,Unisex,Pink,Preppy,"Date, Office",Relaxed Fit,Autumn/Winter,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Mild,Wool,"Pink, preppy, solid, minimal",images/top/pink_knit_sweater.jpg
Grey Blazer 156,Outerwear,Unisex,Grey,Smart Casual,Interview,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Grey, smart casual, check, versatile",images/outerwear/grey_blazer.jpg
Beige T-Shirt 157,Top,Unisex,Beige,Streetwear,"Party, Casual Outing, Travel",Oversized,Spring/Summer,"Medium, Deep","Slim, Average, Broad, Plus Size",Warm,Cotton,"Beige, streetwear, graphic, urban",images/top/beige_t-shirt.jpg
Khaki Chinos 158,Bottom,Unisex,Khaki,Business Casual,"Date, Office, Presentation",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Warm,Cotton,"Khaki, business casual, solid, professional, minimal",images/bottom/khaki_chinos.jpg
Navy Cargo Pants 159,Bottom,Unisex,Navy,Streetwear,Casual Outing,Relaxed Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Navy, streetwear, solid, urban, minimal",images/bottom/navy_cargo_pants.jpg
Brown Linen Shirt 160,Top,Unisex,Brown,Smart Casual,"Beach, Party, Travel",Regular Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Linen,"Brown, smart casual, solid, versatile, minimal",images/top/brown_linen_shirt.jpg
Khaki Shorts 161,Bottom,Unisex,Khaki,Casual,"Travel, Casual Outing",Relaxed Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Cotton,"Khaki, casual, solid, minimal",images/bottom/khaki_shorts.jpg
Beige Linen Shirt 162,Top,Unisex,Beige,Casual,Travel,Relaxed Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Linen,"Beige, casual, striped",images/top/beige_linen_shirt.jpg
Brown Dress Trousers 163,Bottom,Unisex,Brown,Business Casual,"Wedding, Office, Interview",Straight Fit,All Season,"Medium, Deep","Slim, Average, Broad, Plus Size",Mild,Polyester,"Brown, business casual, solid, professional, minimal",images/bottom/brown_dress_trousers.jpg
Burgundy Bomber Jacket 164,Outerwear,Unisex,Burgundy,Casual,University,Regular Fit,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Nylon,"Burgundy, casual, solid, minimal",images/outerwear/burgundy_bomber_jacket.jpg
Olive Polo Shirt 165,Top,Unisex,Olive,Preppy,"Casual Outing, Date, University",Slim Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic",Warm,Pique,"Olive, preppy, striped",images/top/olive_polo_shirt.jpg
Burgundy Shorts 166,Bottom,Unisex,Burgundy,Casual,"Travel, Beach",Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Cotton,"Burgundy, casual, striped",images/bottom/burgundy_shorts.jpg
Grey Dress Trousers 167,Bottom,Unisex,Grey,Business Casual,"Wedding, Interview",Straight Fit,All Season,"Fair, Medium, Deep","Slim, Average, Broad, Plus Size",Mild,Polyester,"Grey, business casual, solid, professional, minimal",images/bottom/grey_dress_trousers.jpg
Brown Dress Trousers 168,Bottom,Unisex,Brown,Business Casual,Interview,Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Any,Polyester,"Brown, business casual, solid, professional, minimal",images/bottom/brown_dress_trousers.jpg
Mustard Chinos 169,Bottom,Unisex,Mustard,Preppy,Business Meeting,Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Mustard, preppy, solid, minimal",images/bottom/mustard_chinos.jpg
Lavender Oxford Shoes 170,Shoes,Unisex,Lavender,Business Casual,"Presentation, Business Meeting, Interview",Regular Fit,All Season,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Any,Leather,"Lavender, business casual, solid, professional, minimal",images/shoes/lavender_oxford_shoes.jpg
Pink Blazer 171,Outerwear,Unisex,Pink,Formal,"Wedding, Interview",Slim Fit,All Season,"Fair, Medium","Slim, Average, Athletic",Any,Cotton,"Pink, formal, check, professional",images/outerwear/pink_blazer.jpg
Forest Green Dress Shirt 172,Top,Unisex,Forest Green,Formal,"Interview, Business Meeting",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Forest Green, formal, solid, professional, minimal",images/top/forest_green_dress_shirt.jpg
Burgundy Cargo Pants 173,Bottom,Unisex,Burgundy,Casual,Party,Relaxed Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Burgundy, casual, solid, minimal",images/bottom/burgundy_cargo_pants.jpg
Red Cargo Pants 174,Bottom,Unisex,Red,Streetwear,Casual Outing,Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Red, streetwear, solid, urban, minimal",images/bottom/red_cargo_pants.jpg
Khaki Dress Trousers 175,Bottom,Unisex,Khaki,Business Casual,"Wedding, Office",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Mild,Wool,"Khaki, business casual, solid, professional, minimal",images/bottom/khaki_dress_trousers.jpg
Red Blazer 176,Outerwear,Unisex,Red,Smart Casual,"Date, Interview",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Cotton,"Red, smart casual, check, versatile",images/outerwear/red_blazer.jpg
Burgundy Sneakers 177,Shoes,Unisex,Burgundy,Minimalist,"Date, Casual Outing, Travel",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Canvas,"Burgundy, minimalist, solid, minimal",images/shoes/burgundy_sneakers.jpg
Mustard Bomber Jacket 178,Outerwear,Unisex,Mustard,Casual,"Travel, Party",Regular Fit,Autumn/Winter,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Nylon,"Mustard, casual, solid, minimal",images/outerwear/mustard_bomber_jacket.jpg
Forest Green Linen Shirt 179,Top,Unisex,Forest Green,Casual,"Casual Outing, Date, Party",Relaxed Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Linen,"Forest Green, casual, solid, minimal",images/top/forest_green_linen_shirt.jpg
Red Shorts 180,Bottom,Unisex,Red,Casual,Beach,Relaxed Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Linen,"Red, casual, striped",images/bottom/red_shorts.jpg
Burgundy Jeans 181,Bottom,Unisex,Burgundy,Casual,"Travel, Party",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Denim,"Burgundy, casual, solid, minimal",images/bottom/burgundy_jeans.jpg
Light Blue Chinos 182,Bottom,Unisex,Light Blue,Preppy,"Office, Presentation",Straight Fit,All Season,"Fair, Medium, Deep","Slim, Average, Broad, Plus Size",Warm,Cotton,"Light Blue, preppy, solid, minimal",images/bottom/light_blue_chinos.jpg
Pink Oxford Shirt 183,Top,Unisex,Pink,Smart Casual,"Date, Office",Regular Fit,All Season,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Pink, smart casual, check, versatile",images/top/pink_oxford_shirt.jpg
Light Blue Linen Shirt 184,Top,Unisex,Light Blue,Casual,Date,Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Linen,"Light Blue, casual, solid, minimal",images/top/light_blue_linen_shirt.jpg
Khaki Dress Trousers 185,Bottom,Unisex,Khaki,Formal,"Presentation, Wedding, Office",Straight Fit,All Season,"Medium, Deep","Slim, Average, Broad, Plus Size",Any,Wool,"Khaki, formal, pinstripe, professional",images/bottom/khaki_dress_trousers.jpg
Burgundy Hoodie 186,Top,Unisex,Burgundy,Streetwear,Party,Oversized,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Broad, Plus Size",Cool,Cotton,"Burgundy, streetwear, solid, urban, minimal",images/top/burgundy_hoodie.jpg
White Henley 187,Top,Unisex,White,Smart Casual,"Casual Outing, University",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"White, smart casual, solid, versatile, minimal",images/top/white_henley.jpg
Lavender Chinos 188,Bottom,Unisex,Lavender,Preppy,Office,Straight Fit,All Season,"Fair, Medium","Slim, Average, Broad, Plus Size",Warm,Cotton,"Lavender, preppy, solid, minimal",images/bottom/lavender_chinos.jpg
Beige Dress Trousers 189,Bottom,Unisex,Beige,Business Casual,"Wedding, Business Meeting",Straight Fit,All Season,"Medium, Deep","Slim, Average, Broad, Plus Size",Any,Polyester,"Beige, business casual, pinstripe, professional",images/bottom/beige_dress_trousers.jpg
Mustard Henley 190,Top,Unisex,Mustard,Smart Casual,Date,Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Mustard, smart casual, solid, versatile, minimal",images/top/mustard_henley.jpg
Brown Dress Trousers 191,Bottom,Unisex,Brown,Formal,"Office, Interview",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Polyester,"Brown, formal, pinstripe, professional",images/bottom/brown_dress_trousers.jpg
Pink Jeans 192,Bottom,Unisex,Pink,Streetwear,Date,Slim Fit,All Season,"Fair, Medium","Slim, Average, Athletic",Any,Denim,"Pink, streetwear, solid, urban, minimal",images/bottom/pink_jeans.jpg
Burgundy Boots 193,Shoes,Unisex,Burgundy,Streetwear,Casual Outing,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Burgundy, streetwear, solid, urban, minimal",images/shoes/burgundy_boots.jpg
Grey Oxford Shoes 194,Shoes,Unisex,Grey,Business Casual,"Wedding, Interview, Office",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Leather,"Grey, business casual, solid, professional, minimal",images/shoes/grey_oxford_shoes.jpg
Pink Loafers 195,Shoes,Unisex,Pink,Smart Casual,"Presentation, Wedding",Regular Fit,All Season,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Any,Leather,"Pink, smart casual, solid, versatile, minimal",images/shoes/pink_loafers.jpg
Cream Dress Shirt 196,Top,Unisex,Cream,Business Casual,"Presentation, Wedding, Office",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Warm,Cotton,"Cream, business casual, solid, professional, minimal",images/top/cream_dress_shirt.jpg
Lavender Polo Shirt 197,Top,Unisex,Lavender,Preppy,"University, Travel, Office",Regular Fit,All Season,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Lavender, preppy, solid, minimal",images/top/lavender_polo_shirt.jpg
Forest Green Polo Shirt 198,Top,Unisex,Forest Green,Casual,"Date, University",Slim Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic",Warm,Cotton,"Forest Green, casual, solid, minimal",images/top/forest_green_polo_shirt.jpg
Forest Green Linen Shirt 199,Top,Unisex,Forest Green,Smart Casual,"Party, Travel, Casual Outing",Relaxed Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Linen,"Forest Green, smart casual, solid, versatile, minimal",images/top/forest_green_linen_shirt.jpg
Light Blue Cargo Pants 200,Bottom,Unisex,Light Blue,Casual,"Party, Travel",Relaxed Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Light Blue, casual, solid, minimal",images/bottom/light_blue_cargo_pants.jpg
Forest Green Sandals 201,Shoes,Unisex,Forest Green,Casual,"Beach, Casual Outing",Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Leather,"Forest Green, casual, solid, minimal",images/shoes/forest_green_sandals.jpg
Forest Green Polo Shirt 202,Top,Unisex,Forest Green,Preppy,"Office, Date, Party",Slim Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic",Hot,Cotton,"Forest Green, preppy, solid, minimal",images/top/forest_green_polo_shirt.jpg
White Knit Sweater 203,Top,Unisex,White,Preppy,"Casual Outing, University, Travel",Relaxed Fit,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Wool,"White, preppy, solid, minimal",images/top/white_knit_sweater.jpg
Red Blazer 204,Outerwear,Unisex,Red,Smart Casual,"Office, Date",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Wool,"Red, smart casual, solid, versatile, minimal",images/outerwear/red_blazer.jpg
Beige Polo Shirt 205,Top,Unisex,Beige,Preppy,"Casual Outing, Date, Travel",Regular Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Pique,"Beige, preppy, striped",images/top/beige_polo_shirt.jpg
Burgundy Linen Shirt 206,Top,Unisex,Burgundy,Smart Casual,"Travel, Date, Beach",Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Linen,"Burgundy, smart casual, striped, versatile",images/top/burgundy_linen_shirt.jpg
Forest Green Sandals 207,Shoes,Unisex,Forest Green,Casual,"Casual Outing, Beach",Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Rubber,"Forest Green, casual, solid, minimal",images/shoes/forest_green_sandals.jpg
Pink Loafers 208,Shoes,Unisex,Pink,Smart Casual,Business Meeting,Regular Fit,All Season,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Any,Leather,"Pink, smart casual, solid, versatile, minimal",images/shoes/pink_loafers.jpg
Cream Blazer 209,Outerwear,Unisex,Cream,Business Casual,Date,Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Cool,Cotton,"Cream, business casual, solid, professional, minimal",images/outerwear/cream_blazer.jpg
Khaki Dress Shirt 210,Top,Unisex,Khaki,Formal,"Presentation, Office",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Warm,Cotton,"Khaki, formal, striped, professional",images/top/khaki_dress_shirt.jpg
Olive Chinos 211,Bottom,Unisex,Olive,Smart Casual,"Business Meeting, Presentation",Straight Fit,All Season,"Medium, Deep","Slim, Average, Broad, Plus Size",Any,Cotton,"Olive, smart casual, solid, versatile, minimal",images/bottom/olive_chinos.jpg
Forest Green Dress Trousers 212,Bottom,Unisex,Forest Green,Formal,"Wedding, Presentation, Business Meeting",Straight Fit,All Season,"Fair, Medium, Deep","Slim, Average, Broad, Plus Size",Any,Wool,"Forest Green, formal, pinstripe, professional",images/bottom/forest_green_dress_trousers.jpg
Cream Linen Shirt 213,Top,Unisex,Cream,Smart Casual,"Date, Party",Regular Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Linen,"Cream, smart casual, striped, versatile",images/top/cream_linen_shirt.jpg
Beige Loafers 214,Shoes,Unisex,Beige,Preppy,"Party, Office, Presentation",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Leather,"Beige, preppy, solid, minimal",images/shoes/beige_loafers.jpg
White Oxford Shirt 215,Top,Unisex,White,Business Casual,Interview,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"White, business casual, check, professional",images/top/white_oxford_shirt.jpg
Lavender Hoodie 216,Top,Unisex,Lavender,Streetwear,"Party, University, Travel",Relaxed Fit,All Season,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Cool,Fleece,"Lavender, streetwear, solid, urban, minimal",images/top/lavender_hoodie.jpg
Olive Boots 217,Shoes,Unisex,Olive,Streetwear,Party,Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Leather,"Olive, streetwear, solid, urban, minimal",images/shoes/olive_boots.jpg
